CMDLINE python gridsearch_mem_leak.py
MEM 0.289062 1584919430.6857
MEM 15.605469 1584919430.8004
MEM 24.242188 1584919430.9159
MEM 29.394531 1584919431.0285
MEM 43.171875 1584919431.1421
MEM 53.320312 1584919431.2556
MEM 62.320312 1584919431.3693
MEM 71.273438 1584919431.4833
MEM 78.738281 1584919431.5960
MEM 84.171875 1584919431.7114
MEM 92.636719 1584919431.8248
MEM 105.140625 1584919431.9395
MEM 151.609375 1584919432.0542
MEM 162.656250 1584919432.1669
MEM 172.796875 1584919432.2800
MEM 180.457031 1584919432.3948
MEM 188.542969 1584919432.5078
MEM 195.390625 1584919432.6209
MEM 205.058594 1584919432.7345
MEM 208.480469 1584919432.8493
MEM 215.144531 1584919432.9622
MEM 224.906250 1584919433.0756
MEM 228.378906 1584919433.1882
MEM 230.789062 1584919433.3011
MEM 233.582031 1584919433.4136
MEM 237.273438 1584919433.5285
MEM 242.933594 1584919433.6432
MEM 242.957031 1584919433.7560
MEM 245.183594 1584919433.8704
MEM 246.128906 1584919433.9830
MEM 252.902344 1584919434.0958
MEM 267.914062 1584919434.2080
MEM 246.609375 1584919434.3203
MEM 246.617188 1584919434.4327
MEM 246.617188 1584919434.5450
MEM 246.617188 1584919434.6573
MEM 246.621094 1584919434.7694
MEM 246.621094 1584919434.8817
MEM 246.621094 1584919434.9939
MEM 246.621094 1584919435.1063
MEM 246.621094 1584919435.2183
MEM 246.621094 1584919435.3305
MEM 246.980469 1584919435.4427
MEM 247.300781 1584919435.5549
MEM 247.628906 1584919435.6672
MEM 247.941406 1584919435.7797
MEM 248.355469 1584919435.8919
MEM 249.964844 1584919436.0041
MEM 250.363281 1584919436.1166
MEM 253.523438 1584919436.2312
MEM 253.539062 1584919436.3444
MEM 253.718750 1584919436.4569
MEM 255.171875 1584919436.5693
MEM 256.105469 1584919436.6815
MEM 256.914062 1584919436.7940
MEM 267.585938 1584919436.9063
MEM 298.394531 1584919437.0188
MEM 287.335938 1584919437.1312
MEM 287.335938 1584919437.2435
MEM 287.335938 1584919437.3559
MEM 287.335938 1584919437.4685
MEM 287.335938 1584919437.5808
MEM 287.335938 1584919437.6931
MEM 287.335938 1584919437.8055
MEM 287.335938 1584919437.9179
MEM 287.335938 1584919438.0302
MEM 287.335938 1584919438.1424
MEM 287.335938 1584919438.2548
MEM 287.664062 1584919438.3675
MEM 287.984375 1584919438.4799
MEM 288.175781 1584919438.5924
MEM 288.671875 1584919438.7048
MEM 289.085938 1584919438.8174
MEM 289.335938 1584919438.9299
MEM 289.578125 1584919439.0422
MEM 290.000000 1584919439.1546
MEM 288.730469 1584919439.2672
MEM 292.753906 1584919439.3813
MEM 293.750000 1584919439.4956
MEM 295.339844 1584919439.6097
MEM 297.343750 1584919439.7234
MEM 299.308594 1584919439.8369
MEM 300.812500 1584919439.9503
MEM 302.832031 1584919440.0637
MEM 304.925781 1584919440.1777
MEM 305.437500 1584919440.2930
MEM 305.941406 1584919440.4065
MEM 305.941406 1584919440.5197
MEM 305.941406 1584919440.6329
MEM 305.941406 1584919440.7460
MEM 305.941406 1584919440.8592
MEM 305.941406 1584919440.9718
MEM 308.652344 1584919441.1019
MEM 311.851562 1584919441.2262
MEM 312.824219 1584919441.3503
MEM 313.339844 1584919441.4745
MEM 313.855469 1584919441.5986
MEM 314.371094 1584919441.7227
MEM 314.628906 1584919441.8468
MEM 315.144531 1584919441.9709
MEM 315.660156 1584919442.0949
MEM 316.203125 1584919442.2190
MEM 316.718750 1584919442.3430
MEM 316.718750 1584919442.4672
MEM 317.234375 1584919442.5901
MEM 317.644531 1584919442.7142
MEM 317.644531 1584919442.8280
MEM 317.644531 1584919442.9419
MEM 317.644531 1584919443.0721
MEM 317.785156 1584919443.1959
MEM 317.875000 1584919443.3337
MEM 318.179688 1584919443.4580
MEM 318.695312 1584919443.5858
MEM 319.054688 1584919443.7093
MEM 319.679688 1584919443.8331
MEM 320.250000 1584919443.9569
MEM 320.558594 1584919444.0919
MEM 320.984375 1584919444.2159
MEM 321.640625 1584919444.3487
MEM 321.871094 1584919444.4724
MEM 322.582031 1584919444.6033
MEM 322.828125 1584919444.7266
MEM 323.332031 1584919444.8596
MEM 323.332031 1584919444.9896
MEM 323.808594 1584919445.1127
MEM 323.808594 1584919445.2568
MEM 323.808594 1584919445.3807
MEM 324.304688 1584919445.5046
MEM 324.804688 1584919445.6284
MEM 325.320312 1584919445.7523
MEM 325.574219 1584919445.8761
MEM 326.078125 1584919446.0000
MEM 326.570312 1584919446.1242
MEM 326.570312 1584919446.2510
MEM 327.078125 1584919446.3748
MEM 327.582031 1584919446.4986
MEM 328.085938 1584919446.6226
MEM 328.484375 1584919446.7463
MEM 328.738281 1584919446.8704
MEM 329.230469 1584919446.9940
MEM 329.484375 1584919447.1178
MEM 329.988281 1584919447.2592
MEM 330.242188 1584919447.3891
MEM 330.496094 1584919447.5252
MEM 330.746094 1584919447.6616
MEM 331.250000 1584919447.7906
MEM 331.753906 1584919447.9163
MEM 332.269531 1584919448.0474
MEM 332.777344 1584919448.1808
MEM 333.035156 1584919448.3121
MEM 333.546875 1584919448.4429
MEM 333.546875 1584919448.5665
MEM 334.316406 1584919448.6903
MEM 334.562500 1584919448.8195
MEM 335.074219 1584919448.9433
MEM 335.589844 1584919449.0682
MEM 335.847656 1584919449.1951
MEM 336.363281 1584919449.3188
MEM 336.363281 1584919449.4510
MEM 336.363281 1584919449.5919
MEM 336.878906 1584919449.7174
MEM 337.539062 1584919449.8416
MEM 338.042969 1584919449.9659
MEM 338.554688 1584919450.0900
MEM 338.863281 1584919450.2149
MEM 338.871094 1584919450.3404
MEM 338.871094 1584919450.4601
MEM 338.871094 1584919450.5764
MEM 338.937500 1584919450.6924
MEM 338.937500 1584919450.8083
MEM 338.937500 1584919450.9239
MEM 338.937500 1584919451.0378
MEM 338.937500 1584919451.1518
MEM 338.937500 1584919451.2657
MEM 338.937500 1584919451.3796
MEM 343.019531 1584919451.4956
MEM 375.246094 1584919451.6115
MEM 366.640625 1584919451.7275
MEM 366.640625 1584919451.8433
MEM 369.910156 1584919451.9592
MEM 373.640625 1584919452.0747
MEM 383.433594 1584919452.1905
MEM 368.402344 1584919452.3064
MEM 368.402344 1584919452.4201
MEM 368.402344 1584919452.5335
MEM 368.402344 1584919452.6473
MEM 368.402344 1584919452.7623
MEM 368.402344 1584919452.8751
MEM 368.402344 1584919452.9882
MEM 368.402344 1584919453.1014
MEM 368.402344 1584919453.2145
MEM 368.402344 1584919453.3278
MEM 368.402344 1584919453.4404
MEM 368.402344 1584919453.5529
MEM 368.402344 1584919453.6655
MEM 368.402344 1584919453.7782
MEM 368.402344 1584919453.8908
MEM 368.402344 1584919454.0037
MEM 368.402344 1584919454.1163
MEM 368.402344 1584919454.2290
MEM 368.687500 1584919454.3418
MEM 368.988281 1584919454.4546
MEM 369.136719 1584919454.5672
MEM 369.148438 1584919454.6802
MEM 369.156250 1584919454.7929
MEM 328.859375 1584919454.9086
MEM 334.816406 1584919455.0243
MEM 334.339844 1584919455.1407
MEM 335.339844 1584919455.2545
MEM 336.664062 1584919455.3675
MEM 338.835938 1584919455.4804
MEM 340.292969 1584919455.5936
MEM 341.343750 1584919455.7065
MEM 343.578125 1584919455.8198
MEM 345.800781 1584919455.9328
MEM 345.800781 1584919456.0457
MEM 345.800781 1584919456.1592
MEM 345.800781 1584919456.2723
MEM 345.800781 1584919456.3851
MEM 345.800781 1584919456.4977
MEM 345.800781 1584919456.6104
MEM 346.191406 1584919456.7477
MEM 346.652344 1584919456.8716
MEM 347.167969 1584919456.9955
MEM 347.679688 1584919457.1386
MEM 349.269531 1584919457.2625
MEM 349.632812 1584919457.3863
MEM 349.835938 1584919457.5101
MEM 349.835938 1584919457.6271
MEM 349.835938 1584919457.7404
MEM 349.867188 1584919457.8645
MEM 350.246094 1584919457.9947
MEM 350.246094 1584919458.1291
MEM 350.378906 1584919458.2684
MEM 350.878906 1584919458.4112
MEM 351.351562 1584919458.5437
MEM 352.121094 1584919458.6836
MEM 352.644531 1584919458.8145
MEM 352.816406 1584919458.9415
MEM 353.234375 1584919459.0674
MEM 353.832031 1584919459.1935
MEM 354.347656 1584919459.3178
MEM 354.648438 1584919459.4416
MEM 355.234375 1584919459.5657
MEM 355.273438 1584919459.6898
MEM 355.578125 1584919459.8147
MEM 356.207031 1584919459.9389
MEM 356.734375 1584919460.0608
MEM 356.734375 1584919460.1918
MEM 356.835938 1584919460.3159
MEM 357.289062 1584919460.4401
MEM 357.664062 1584919460.5725
MEM 357.898438 1584919460.7083
MEM 358.281250 1584919460.8421
MEM 358.667969 1584919460.9807
MEM 359.050781 1584919461.1126
MEM 359.644531 1584919461.2440
MEM 360.195312 1584919461.3890
MEM 360.214844 1584919461.5403
MEM 360.214844 1584919461.6556
MEM 360.214844 1584919461.7709
MEM 360.574219 1584919461.8863
MEM 363.230469 1584919462.0013
MEM 363.230469 1584919462.1144
MEM 363.230469 1584919462.2277
MEM 366.324219 1584919462.3410
MEM 367.355469 1584919462.4546
MEM 390.300781 1584919462.5699
MEM 399.773438 1584919462.6854
MEM 399.773438 1584919462.8006
MEM 399.773438 1584919462.9145
MEM 399.773438 1584919463.0291
MEM 404.953125 1584919463.1449
MEM 413.750000 1584919463.2601
MEM 424.015625 1584919463.3755
MEM 404.996094 1584919463.4908
MEM 404.996094 1584919463.6036
MEM 404.996094 1584919463.7163
MEM 404.996094 1584919463.8289
MEM 404.996094 1584919463.9415
MEM 404.996094 1584919464.0541
MEM 404.996094 1584919464.1670
MEM 404.996094 1584919464.2795
MEM 404.996094 1584919464.3923
MEM 404.996094 1584919464.5050
MEM 404.996094 1584919464.6176
MEM 404.996094 1584919464.7304
MEM 404.996094 1584919464.8432
MEM 404.996094 1584919464.9558
MEM 404.996094 1584919465.0685
MEM 404.996094 1584919465.1812
MEM 404.996094 1584919465.2938
MEM 404.996094 1584919465.4065
MEM 404.996094 1584919465.5191
MEM 404.996094 1584919465.6318
MEM 405.183594 1584919465.7445
MEM 405.437500 1584919465.8572
MEM 405.437500 1584919465.9706
MEM 405.437500 1584919466.0834
MEM 405.437500 1584919466.1978
MEM 405.437500 1584919466.3107
MEM 405.437500 1584919466.4234
MEM 406.460938 1584919466.5389
MEM 362.886719 1584919466.6545
MEM 362.886719 1584919466.7794
MEM 362.886719 1584919466.9003
MEM 362.886719 1584919467.0132
MEM 364.660156 1584919467.1260
MEM 366.148438 1584919467.2390
MEM 367.632812 1584919467.3519
MEM 370.187500 1584919467.4652
MEM 372.250000 1584919467.5778
MEM 372.250000 1584919467.6907
MEM 372.250000 1584919467.8036
MEM 372.250000 1584919467.9163
MEM 372.250000 1584919468.0291
MEM 372.250000 1584919468.1422
MEM 372.250000 1584919468.2550
MEM 372.250000 1584919468.3803
MEM 372.597656 1584919468.5253
MEM 372.933594 1584919468.6748
MEM 372.933594 1584919468.8053
MEM 373.226562 1584919468.9380
MEM 373.824219 1584919469.0690
MEM 374.289062 1584919469.1930
MEM 374.777344 1584919469.3218
MEM 375.285156 1584919469.4456
MEM 375.562500 1584919469.5807
MEM 375.976562 1584919469.7186
MEM 376.523438 1584919469.8448
MEM 376.972656 1584919469.9686
MEM 376.972656 1584919470.0923
MEM 376.972656 1584919470.2056
MEM 376.972656 1584919470.3298
MEM 376.972656 1584919470.4539
MEM 377.390625 1584919470.5782
MEM 377.875000 1584919470.7023
MEM 378.105469 1584919470.8328
MEM 378.105469 1584919470.9569
MEM 378.316406 1584919471.0964
MEM 378.757812 1584919471.2282
MEM 379.472656 1584919471.3624
MEM 379.964844 1584919471.4971
MEM 380.195312 1584919471.6331
MEM 380.691406 1584919471.7648
MEM 381.187500 1584919471.8989
MEM 381.679688 1584919472.0347
MEM 382.167969 1584919472.1731
MEM 382.167969 1584919472.3122
MEM 382.621094 1584919472.4442
MEM 383.117188 1584919472.5765
MEM 383.605469 1584919472.7122
MEM 384.105469 1584919472.8482
MEM 384.105469 1584919472.9869
MEM 384.351562 1584919473.1228
MEM 384.859375 1584919473.2553
MEM 385.351562 1584919473.3907
MEM 385.847656 1584919473.5288
MEM 386.101562 1584919473.6744
MEM 386.843750 1584919473.8090
MEM 387.085938 1584919473.9524
MEM 387.324219 1584919474.0887
MEM 387.558594 1584919474.2263
MEM 388.304688 1584919474.3620
MEM 388.554688 1584919474.5021
MEM 389.050781 1584919474.6360
MEM 389.546875 1584919474.7748
MEM 390.039062 1584919474.9013
MEM 390.535156 1584919475.0280
MEM 390.535156 1584919475.1637
MEM 391.042969 1584919475.2877
MEM 391.042969 1584919475.4115
MEM 391.523438 1584919475.5486
MEM 392.015625 1584919475.6724
MEM 392.015625 1584919475.7974
MEM 392.496094 1584919475.9333
MEM 392.996094 1584919476.0573
MEM 393.503906 1584919476.1814
MEM 393.750000 1584919476.3174
MEM 394.242188 1584919476.4414
MEM 394.500000 1584919476.5652
MEM 395.000000 1584919476.7008
MEM 395.503906 1584919476.8248
MEM 395.984375 1584919476.9488
